"Department","Number","Name","Credits","Description","Prerequisites"
CNHP,"4100",Quality and Safety in Health Informatics,3,Examination of quality management principles and safety practices in health informatics. Topics include data integrity risk management regulatory compliance and strategies for improving patient outcomes and reducing errors.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55413
CNHP,"4010",Leadership and Ethics in Healthcare,3,Exploration of leadership theories and ethical principles in healthcare settings. Emphasis on developing leadership skills fostering organizational change and addressing ethical dilemmas in healthcare practice and policy.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55409
CNHP,"3050",Special Topics in Nursing and Health Professions,3,Study of specialized topics relevant to nursing and health professions. Topics may vary each semester and can include emerging trends current research and interdisciplinary perspectives in healthcare practice and education.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55399
CNHP,"4680",Security and Privacy through Healthcare Technology,3,Examination of security and privacy issues related to healthcare technology. Topics include data protection confidentiality HIPAA compliance cybersecurity threats and risk mitigation strategies in healthcare settings.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55424
CNHP,"3106",Information Systems and Public Health,3,Exploration of information systems in public health practice and research. Topics include data collection analysis and dissemination methods for addressing public health challenges and promoting population health outcomes.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58126
CNHP,"3910",Introduction to the Health Care System,3,Overview of the organization delivery and financing of the healthcare system in the United States. Emphasis on understanding healthcare policy stakeholders and the role of technology in healthcare delivery.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58125
CRJU,"4910",Selected Legal Issues in Criminal Justice,3,Exploration of selected legal issues within the criminal justice system. Topics may include constitutional rights criminal procedures and legal challenges in contemporary criminal justice practice.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55471
CRJU,"4915",Controversial Legal Issues in Criminal Justice,3,Analysis of controversial legal issues in criminal justice including debates over policies practices and court decisions. Emphasis on critical examination of diverse perspectives and ethical considerations.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55472
CRJU,"4770",Criminal Evidence,3,Examination of rules of evidence in criminal proceedings. Topics include admissibility relevance and reliability of evidence as well as the roles of judges and juries in evaluating evidence.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55467
CRJU,"4020",Criminal Justice Policy Analysis,3,Examination of policy-making processes and their impact on criminal justice practices and outcomes. Emphasis on analyzing policies evaluating alternatives and addressing contemporary issues.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55449
CRJU,"4050",Wrongful Convictions,3,Investigation of factors contributing to wrongful convictions in the criminal justice system. Emphasis on case studies legal reforms and efforts to prevent and rectify miscarriages of justice.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55451
CRJU,"3350",Prisons and Jails,3,Examination of the organization management and functions of correctional facilities in the criminal justice system. Topics include inmate rights rehabilitation programs and challenges facing correctional staff.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55444
CRJU,"4920",Community Policing,3,Exploration of community-oriented approaches to policing. Topics include problem-solving strategies community partnerships and the role of police in promoting public safety and trust.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55473
CRJU,"4070",Family Violence and Criminal Justice,3,Analysis of family violence within the criminal justice system. Topics include domestic abuse child maltreatment and the legal and social responses to family violence.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55452
CRJU,"3005",Career Planning & Management,3,Course focusing on career development and planning strategies for students majoring in criminal justice. Emphasis on identifying career goals acquiring relevant skills and navigating job opportunities in the field.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55438
ART,"2300",Fundamentals of Painting II,3, Further exploration of painting techniques and concepts introduced in Fundamentals of Painting I. Emphasis on advanced techniques styles and creative expression.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55079
ART,"2200",Fundamentals of Painting I,3, Introduction to basic painting techniques materials and concepts. Emphasis on developing fundamental skills in painting and creative expression.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55078
ART,"2400",Fundamentals of Photography,3, Introduction to basic principles of photography including camera operation composition and darkroom techniques. Emphasis on developing technical skills and creative vision.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55080
ART,"4500",CTW,3, Course that satisfies the Communication Through Writing CTW requirement with a focus on topics relevant to art and art history. Emphasis on developing writing skills for artistic analysis and research.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55086
ART,"3690",Honors Readings,3, Directed readings and research in art history or studio art for honors students. Topics may vary.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55083
ART,"4850",Visiting Artist Seminar,3, Seminar-style course featuring presentations and discussions with visiting artists. Emphasis on exposure to diverse artistic practices and contemporary art issues.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55087
ART,"4870",Honors Thesis: Research,3, Research component of the Honors Thesis program in art or art history. Emphasis on independent research and scholarly inquiry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55088
ART,"1020",Dimensional Design,3, Introduction to basic principles of three-dimensional design including form space and structure. Emphasis on developing creative problem-solving skills and understanding spatial relationships.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55072
ART,"4000",Practical Skills in Arts Administration,3, Introduction to practical skills and concepts relevant to arts administration including budgeting marketing fundraising and grant writing. Emphasis on developing professional skills for careers in the arts.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55085
ART,"1301",Art Society and Culture,3, Examination of the role of art in society and culture including historical social and cultural contexts of artistic production and reception. Emphasis on critical analysis and interpretation of art.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55075
ECON,"3005",Career Planning & Management,3,Exploration of career planning strategies and management skills relevant to economics majors.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55623
ECON,"4750",Introduction to Game Theory,3,Introduction to the principles of game theory and their application to economics and strategic decision-making.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55644
ECON,"4941",Economics Internship,3,Supervised internship experience in an organization related to economics providing practical application of economic concepts and skills.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55650
ECON,"4810",International Finance,3,Examination of international financial markets institutions and policies with a focus on exchange rates balance of payments and international monetary systems.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55646
ECON,"4600",Economic Development,3,Study of economic development theories and policies including issues of poverty inequality and sustainable development in both developed and developing countries.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55640
ECON,"4080",History of Economic Thought,3,Survey of major schools of economic thought throughout history including mercantilism classical economics Marxism neoclassical economics and Keynesian economics.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55628
ECON,"4930",Mathematical Economics,3,Introduction to mathematical methods used in economic analysis including optimization comparative statics and dynamic analysis.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55649
ECON,"4300",Economics of Cities,3,Examination of economic issues related to urban areas including urbanization housing markets transportation and local government policies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55633
ECON,"3910",Microeconomics,3,Study of individual decision-making units in the economy including consumers firms and markets with an emphasis on supply and demand analysis.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55627
ECON,"4210",Health Economics,3,Examination of economic issues related to health and healthcare including healthcare markets health insurance and healthcare policy analysis.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55630
EDUC,"2100",Introduction to the Field of Human Learning and Development,3,Overview of theories and research in human learning and development emphasizing applications to educational practice.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=63018
EDUC,"2110",Investigating Critical and Contemporary Issues in Education,3,Examination of current issues and trends in education with a focus on critical analysis and discussion.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55683
EDUC,"2120",Cultural Perspectives on Diversity in Educational Contexts,3,Exploration of cultural diversity in educational settings including issues of race ethnicity language and socioeconomic status.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55684
EDUC,"2152",Birth and Parenthood,3,Study of human birth and parenthood including physical emotional and social aspects of pregnancy childbirth and early parenting.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57992
EDUC,"2300",Introduction to Child Development,3,Introduction to theories and research in child development focusing on physical cognitive and socioemotional development from infancy through adolescence.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57993
EDUC,"3100",CTW,3,Development of advanced writing skills in the context of education including research analysis and argumentation.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55687
EDUC,"3440",Self in Society: Decolonizing Educator Identities Toward Excellence in Urban Education,3,Examination of the intersection of personal and social identities in the context of urban education with an emphasis on decolonizing practices.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55689
EDUC,"4360",Education for Community Building: Healing Social Wounds Earth Stewardship and Indigeneity,3,Exploration of education as a tool for community building social healing environmental stewardship and indigenous knowledge systems.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58121
EDUC,"4460",Culturally and Historically Responsive Education,3,Examination of culturally and historically responsive pedagogy including strategies for engaging diverse learners and communities.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55690
EDUC,"4670",Internship in Human Learning and Development,3,Supervised internship experience in a setting related to human learning and development with opportunities for observation participation and reflection.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55692
ENGL,"1101",English Composition I,3,An introduction to college writing focusing on essay composition rhetorical strategies and critical reading.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55695
ENGL,"3115",Multimodal Composition,3,Introduction to theories principles and practices of multimodal composition. Emphasis on composing with images sounds and graphics using a variety of digital technologies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55709
ENGL,"3150C",Introduction to Creative Writing: Poetry Fiction & Creative Nonfiction,3,Introduction to the craft and techniques of writing poetry fiction and creative nonfiction.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55810
ENGL,"3255",Introduction to Digital Humanities,3,Introduction to the field of digital humanities exploring how digital tools and methods are applied to the study of literature culture and history.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55724
ENGL,"3400",Courtiers Clergy and Poets,3,Examination of medieval and Renaissance literature focusing on courtiers clergy and poets.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55734
ENGL,"3720","17th Century English Poetry",3,Study of major poets and poetry of 17th-century England including Milton Donne and Marvell.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55750
ENGL,"3800",Early American Literature,3,Survey of early American literature from colonial times to the mid-19th century.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55751
ENGL,"3810",American Romantics,3,Study of the American Romantic movement including major authors such as Emerson Thoreau and Hawthorne.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55752
ENGL,"3840",Postmodern American Literature,3,Exploration of postmodern themes and techniques in American literature from the mid-20th century to the present.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55755
ENGL,"3860",American Drama,3,Examination of American dramatic literature focusing on major playwrights and significant works from the colonial period to the present.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55757
BIOL,"1103",Introductory Biology I,3,Introduction to basic concepts in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55121
BIOL,"1123",Introductory Biology I,3,Introduction to basic concepts in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57950
BIOL,"1113",Introductory Biology I Lab,1,Laboratory component for Introductory Biology I.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55202
BIOL,"1104",Introductory Biology II,3,Continuation of basic concepts in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55122
BIOL,"1124",Introductory Biology II,3,Continuation of basic concepts in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57958
BIOL,"1114",Introductory Biology II Laboratory,1,Laboratory component for Introductory Biology II.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55203
BIOL,"2030",Professional Development in the Biological Sciences,3,Develop professional skills in the biological sciences.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58178
BIOL,"2050",Introduction to Drugs and Behavior,3,Study of the effects of drugs on behavior.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57959
BIOL,"2106",Introduction to the Biological Sciences,3,Introduction to various fields in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55123
BIOL,"2107",Principles of Biology I,3,Study of fundamental principles of biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57817
CHEM,"1201",Chemistry I Concept Development,3,Introduction to fundamental concepts in chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55245
CHEM,"1211",Principles of Chemistry I,4,Basic principles of chemistry with lab.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55246
CHEM,"1212",Principles of Chemistry II,4,Continuation of basic principles of chemistry with lab.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55247
CHEM,"4610",Biochemistry II,3,Study of the biochemical processes in living organisms.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55287
CHEM,"4690",Special Topics in Biochemistry,3,Explore specialized topics in biochemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58160
CHEM,"4950",Advanced Chemical Research,3,Conduct advanced research in chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55300
CHEM,"4015",Analytical Separations,3,Study of separation techniques in analytical chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55262
CHEM,"4400",Mechanistic Organic Chemistry,3,Explore the mechanisms of organic reactions.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55278
CHEM,"1151",Survey Of Chemistry I,3,Introduction to basic principles of chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55243
CHEM,"1152",Survey Of Chemistry II,3,Continuation of basic principles of chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55244
CHEM,"3015",Quantitative Chemical Analysis,3,Study of quantitative analysis techniques in chemistry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55250
CHEM,"4460",Medicinal Chemistry,3,Study of the design and synthesis of medicinal compounds.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=63052
CIS,"4190",Digital Business Transformation,3,Explore the transformation of business through digital technologies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55342
CIS,"4680",Intro to Security,3,Introduction to security concepts and principles.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55349
CIS,"4270",Mobile Application Development,3,Learn to develop applications for mobile platforms.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57873
CIS,"4684",Cybersecurity Tools and Solutions,3,Explore tools and solutions in cybersecurity.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58122
CIS,"4000",Introduction to Computer Forensics,3,Introduction to computer forensics principles.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55337
CIS,"4850",Cloud Computing & Application Development,3,Introduction to cloud computing and application development.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55354
CIS,"4350",Technology for Entrepreneurs,3,Explore technologies relevant to entrepreneurship.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55345
CIS,"4730",Unstructured Data Management,3,Study management techniques for unstructured data.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55353
CIS,"4688",Protecting Business Systems and Networks,3,Study methods for protecting business systems and networks.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55350
